GEN,Ambiente,local_estado,Year_Date,GY_media,GY_mediana,GY_sd,n_rep,CV
AN CAMBARÁ,MT-SIN-2013,MT-SIN,2013,2104.25,1958,408.09261612204324,4,19.39
AN CAMBARÁ,MT-SIN-2014,MT-SIN,2014,3867,3848,292.4517054147573,4,7.56
AN CAMBARÁ,MT-SIN-2015,MT-SIN,2015,3361,3319.5,250.40101171254614,4,7.45
AN CAMBARÁ,MT-SIN-2016,MT-SIN,2016,2712.75,2797,342.0744314716706,4,12.61
AN CAMBARÁ,MT-SIN-2017,MT-SIN,2017,4475,4569.5,1060.571229731098,4,23.7
AN CAMBARÁ,MT-SIN-2019,MT-SIN,2019,2540.25,2641,1043.4674168367692,4,41.08
AN CAMBARÁ,MT-SIN-2020,MT-SIN,2020,5795.925,5766.4,251.6746096980516,4,4.34
AN CAMBARÁ,MT-SIN-2022,MT-SIN,2022,5787,5764.5,966.8522810302168,4,16.71
AN CAMBARÁ,MT-SJQM-2013,MT-SJQM,2013,5204.5,5562.5,1744.9451758340908,4,33.53
AN CAMBARÁ,MT-TAN-2013,MT-TAN,2013,4979.25,4850,826.9007900991912,4,16.61
AN CAMBARÁ,MT-TAN-2015,MT-TAN,2015,4270,4266.5,256.99416335784747,4,6.02
AN CAMBARÁ,MT-TAN-2017,MT-TAN,2017,4493.5,4533.5,739.2899746829161,4,16.45
AN CAMBARÁ,MT-TAN-2019,MT-TAN,2019,3593,3553,346.41016151377545,4,9.64
AN CAMBARÁ,MT-TAN-2020,MT-TAN,2020,3766.675,3703.35,264.1531547543332,4,7.01
AN CAMBARÁ,MT-TAN-2022,MT-TAN,2022,3797.25,3838,194.4022890811731,4,5.12
AN CAMBARÁ,MT-TAN-2023,MT-TAN,2023,5160,5056,566.9485573371421,4,10.99
AN CAMBARÁ,MT-UNS-2014,MT-UNS,2014,3683.5,3705,491.53738413268223,4,13.34
AN CAMBARÁ,MT-UNS-2016,MT-UNS,2016,5009.5,5066.5,1171.3139345766076,4,23.38
AN CAMBARÁ,MT-UNS-2017,MT-UNS,2017,4070.25,4362,862.2390909718719,4,21.18
AN CAMBARÁ,PA-ALT-2013,PA-ALT,2013,4300.75,4481.5,657.1161109981502,4,15.28
AN CAMBARÁ,PA-ALT-2016,PA-ALT,2016,2899.5,2907,1646.7342428779048,4,56.79
AN CAMBARÁ,PA-ALT-2017,PA-ALT,2017,4245.25,3969,1008.53900106375,4,23.76
AN CAMBARÁ,PA-ALT-2018,PA-ALT,2018,4092.5,4099,932.4063849345234,4,22.78
AN CAMBARÁ,PA-ALT-2020,PA-ALT,2020,3624,3967,1891.669104256873,4,52.2
AN CAMBARÁ,PA-ALT-2021,PA-ALT,2021,3751.325,3568,935.2784732367146,4,24.93
AN CAMBARÁ,PA-ALT-2022,PA-ALT,2022,1879,1504,855.5355048155512,3,45.53
AN CAMBARÁ,PA-ALT-2023,PA-ALT,2023,4665,5140,1407.0128591757525,4,30.16
AN CAMBARÁ,PA-BEL-2013,PA-BEL,2013,2266.75,2227,89.07814920993064,4,3.93
AN CAMBARÁ,PA-BEL-2020,PA-BEL,2020,4365.25,4507,755.172552025915,4,17.3
AN CAMBARÁ,PA-BEL-2021,PA-BEL,2021,4398.275,4178.45,2063.5001597205332,4,46.92
AN CAMBARÁ,PA-BEL-2022,PA-BEL,2022,5938.75,6095,379.21003414994175,4,6.39
AN CAMBARÁ,PA-MOJ-2013,PA-MOJ,2013,3571.75,3472,1033.990127290069,4,28.95
AN CAMBARÁ,PA-PGM-2013,PA-PGM,2013,3161.75,3068.5,307.30807018365135,4,9.72
AN CAMBARÁ,PA-PGM-2016,PA-PGM,2016,3642.25,3624,815.2154623165584,4,22.38
AN CAMBARÁ,PA-PGM-2017,PA-PGM,2017,4228.75,4506,770.7595279981948,4,18.23
AN CAMBARÁ,PA-PGM-2020,PA-PGM,2020,1574.25,1463,380.93689328636395,4,24.2
AN CAMBARÁ,PA-PGM-2021,PA-PGM,2021,2549.1,2631.1,689.6157964161397,4,27.05
AN CAMBARÁ,PA-PGM-2022,PA-PGM,2022,2992,3128.5,656.5236730943777,4,21.94
AN CAMBARÁ,PA-SANT-2016,PA-SANT,2016,2057,2033.5,229.20005817334922,4,11.14
AN CAMBARÁ,PA-SANT-2017,PA-SANT,2017,4729,4872,459.2544683143177,4,9.71
AN CAMBARÁ,PA-TALT-2016,PA-TALT,2016,3824.75,4163,724.3334292069272,4,18.94
AN CAMBARÁ,PI-TER-2013,PI-TER,2013,4916.5,4666.5,1134.2969922673103,4,23.07
AN CAMBARÁ,PI-TER-2014,PI-TER,2014,4491.25,4566.5,299.94152207833224,4,6.68
AN CAMBARÁ,PI-TER-2015,PI-TER,2015,3858,3883,384.56815607466336,4,9.97
AN CAMBARÁ,PI-TER-2016,PI-TER,2016,2908,2783,359.3976442141304,4,12.36
AN CAMBARÁ,PI-TER-2017,PI-TER,2017,5199.5,5466,988.511844474646,4,19.01
AN CAMBARÁ,PI-TER-2021,PI-TER,2021,1933,1933,333,3,17.23
AN CAMBARÁ,RO-OPO-2013,RO-OPO,2013,3485,3456,179.78876494375282,4,5.16
AN CAMBARÁ,RO-OPO-2015,RO-OPO,2015,3498,3537.5,152.02850609891115,4,4.35
AN CAMBARÁ,RO-OPO-2016,RO-OPO,2016,2980,2967,205.49128124245726,4,6.9
AN CAMBARÁ,RO-PVEL-2016,RO-PVEL,2016,4102.75,3902.5,479.44021177480164,4,11.69
AN CAMBARÁ,RO-PVEL-2020,RO-PVEL,2020,1594.2,1594.2,NA,1,NA
AN CAMBARÁ,RO-PVEL-2021,RO-PVEL,2021,2194.5,2196,572.4738713105894,4,26.09
AN CAMBARÁ,RO-VIL-2013,RO-VIL,2013,2745.75,2868,617.4713893506862,4,22.49
AN CAMBARÁ,RO-VIL-2016,RO-VIL,2016,4522.5,4237,623.2123768561297,4,13.78
AN CAMBARÁ,RO-VIL-2019,RO-VIL,2019,6270.75,6567,967.9095601690618,4,15.44
AN CAMBARÁ,RO-VIL-2020,RO-VIL,2020,4235.675,4271.55,838.5197806253589,4,19.8
AN CAMBARÁ,RO-VIL-2021,RO-VIL,2021,3242.25,3228,907.7471656065177,4,28
AN CAMBARÁ,SP-PIRA-2013,SP-PIRA,2013,3493.75,3562.5,700.4091066417303,4,20.05
AN CAMBARÁ,TO-DUE-2021,TO-DUE,2021,6948.5,6930,1451.1986999259152,4,20.89
AN CAMBARÁ,TO-FOR-2019,TO-FOR,2019,5349.5,5727.5,1893.9990320307277,4,35.41
AN CAMBARÁ,TO-FOR-2020,TO-FOR,2020,5266.5,5294,1073.3475671934045,4,20.38
AN CAMBARÁ,TO-PDT-2022,TO-PDT,2022,6461,5940.5,1581.4387963707816,4,24.48
AN CAMBARÁ,TO-PNAC-2016,TO-PNAC,2016,5745.75,5767,1116.8235835021871,4,19.44
AN CAMBARÁ,TO-PNAC-2019,TO-PNAC,2019,3124.75,3083,242.84202684049563,4,7.77
BRS A501 CL,GO-APS-2016,GO-APS,2016,1558.6666666666667,1528,183.92752195724634,3,11.8
BRS A501 CL,GO-APS-2017,GO-APS,2017,4887.5,4750,855.4969316134336,4,17.5
BRS A501 CL,GO-GOIA-2016,GO-GOIA,2016,3409.75,3466.5,642.5280149534337,4,18.84
BRS A501 CL,GO-GOIA-2017,GO-GOIA,2017,3660.25,3741.5,286.5500247193615,4,7.83
